Position,Year,Semester,Code,Course,Hours,Organization,City,Region,Country
University Lecturer,2019,2,1200,Sustainable Resource Management,8,Vienna University of Economics and Business,Vienna,,Austria
University Lecturer,Today,2,1200,Sustainable Resource Management,8,Vienna University of Economics and Business,Vienna,,Austria
University Lecturer,2013,2,IT7515,Numerical Analysis,60,Federal University of Pampa,Itaqui,RS,Brazil
University Lecturer,2014,X,X,Numerical Analysis,60,Federal University of Pampa,Itaqui,RS,Brazil
University Lecturer,2013,2,IT5012,Algorithms and Programming,60,Federal University of Pampa,Itaqui,RS,Brazil
University Lecturer,2014,NA,NA,Algorithms and Programming,60,Federal University of Pampa,Itaqui,RS,Brazil
University Lecturer,2013,2,IT7200,Introduction to Informatics,60,Federal University of Pampa,Itaqui,RS,Brazil
University Lecturer,2014,NA,NA,Introduction to Informatics,60,Federal University of Pampa,Itaqui,RS,Brazil
University Lecturer,2013,1,IT4005,Informatics,45,Federal University of Pampa,Itaqui,RS,Brazil
University Lecturer,2013,1,IT5006,Informatics,30,Federal University of Pampa,Itaqui,RS,Brazil
University Lecturer,2013,1,IT7403,Informatics,23,Federal University of Pampa,Itaqui,RS,Brazil
University Lecturer,2013,1,IT3201,Informatics,60,Federal University of Pampa,Itaqui,RS,Brazil
University Lecturer,2013,1,IT8301,Informatics,45,Federal University of Pampa,Itaqui,RS,Brazil
University Lecturer,2013,1,IT7515,Informatics,45,Federal University of Pampa,Itaqui,RS,Brazil
University Lecturer,2012,2,IT7422,Introduction to Programming,45,Federal University of Pampa,Itaqui,RS,Brazil
University Lecturer,2012,2,IT4049,Environmental Management,30,Federal University of Pampa,Itaqui,RS,Brazil
University Lecturer,2012,1,IT4005,Informatics,23,Federal University of Pampa,Itaqui,RS,Brazil
University Lecturer,2012,1,IT6003,Informatics,15,Federal University of Pampa,Itaqui,RS,Brazil
University Lecturer,2012,1,IT7403,Informatics,60,Federal University of Pampa,Itaqui,RS,Brazil
University Lecturer,2012,1,IT3201,Informatics,23,Federal University of Pampa,Itaqui,RS,Brazil
Teaching assistant,2010,2,DCC008,Numerical Analysis,60,Federal University of Juiz de Fora,Juiz de Fora,MG,Brazil
Teaching assistant,2010,1,DCC120,Programming Laboratory,30,Federal University of Juiz de Fora,Juiz de Fora,MG,Brazil
Teaching assistant,2009,2,DCC120,Programming Laboratory,30,Federal University of Juiz de Fora,Juiz de Fora,MG,Brazil
Teaching assistant,2009,1,DCC120,Programming Laboratory,30,Federal University of Juiz de Fora,Juiz de Fora,MG,Brazil
